"y","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10"
0.694126705561536,-0.44642112404108,1,"...if",1,1,3.36991287588676,1.34,-1.6617917518,0,1
0.5032962,-2.7653776940424,0,"then",1,1,3.19373361576385,0.18,-0.3283559217,0,0
0.8582962,-1.60724778659642,1,"he",1,1,1.93260529788511,1.34,-0.2253575113,1,1
2.0782962,-2.34278321871534,0,"shall",1,0,5.2244836818518,0.5,-0.0817004631,0,1
0.3523954427,-0.363602415192872,1,"be",1,0,2.6173725096173,0.5,-1.0507700944,1,0
0.768414609114853,-1.72261206549592,0,"thrust",0,0,2.45673017916825,1.34,-0.0945181137,0,0
1.34041886794012,-0.0232995178084821,1,"from",1,1,2.91726977442851,1,-0.2059702566,0,1
1.2782498804,-1.20290952594951,1,"thee",0,1,4.10613818400053,1.25,-0.1012286581,1,0
1.2782962,-1.66475501703098,1,"by",1,1,4.09088251684221,0.5,-0.2261274998,1,1
1.5780466133,-1.39232255006209,1,"the",0,1,3.65313703516359,-0.2,-0.5898144851,1,0
0.4582962,-0.809402880258858,0,"sword,",0,1,3.25770354219253,0.8,0.1516993381,0,1
0.5601322547,-0.179906708886847,0,"and",1,0,3.38499017592984,0.8,-1.642083467,1,1
1.9782962,-0.606337509350851,0,"thou",0,0,2.71932137417387,1.34,-1.2129838648,0,1
0.8282962,-2.86243744567037,0,"be",0,0,5.22903235377697,1.25,0.0334050919,1,1
0.762299697471872,-1.40329262427986,0,"dragged",1,1,3.74116179407032,0.8,-1.1428691698,1,1
1.2782962,-1.96570698148571,0,"to",0,1,3.22352277970343,0.8,-0.1578157982,0,0
1.57819259014729,-1.29938158253208,1,"prison,",1,0,3.49825867180368,1,-0.8799770893,1,1
0.8404428824,-1.4687915048562,1,"and",1,0,3.37582707860354,1,-0.6050355737,1,0
0.3182962,-2.12916551716626,0,"thine",1,1,4.4229774161757,1.34,0.106188101,0,0
1.4982962,-0.0979245342314243,1,"enemies",1,1,4.60959211320101,0.8,-3.411667579,1,1
1.77814114879616,-0.449229048332199,0,"prowl",1,1,3.45565762919163,-0.2,-1.6104285809,1,1
2.02722629,-0.893881752155721,0,"around",1,1,3.79800550259157,1,-0.0041237504,1,1
2.0777837,-1.28676288295537,0,"thee",1,1,3.75727436263228,1,-0.6205114797,1,0
0.28241824665,-0.184377228375524,1,"like",1,0,2.53228165430606,1.34,-1.0709044259,1,0
0.8234962,-2.87482108105905,1,"wolves",1,1,4.72247894976566,1,-0.0736578687,1,1
1.4082962,-2.28659398946911,1,"for",1,1,4.54534907444785,-0.2,-0.158755085,1,1
1.9845762,-0.608230358222499,0,"the",0,1,3.51355229923603,0.4,-0.561521941,1,0
2.0407962,-0.0687581361271441,1,"blood",1,1,7.10513923830738,1.34,-4.7488811022,1,1
1.7782962,-1.03424237645231,0,"of",1,0,3.70211831081428,-0.2,-0.4178759344,0,1
1.73393551235686,-2.59934795997106,0,"the",1,1,5.30625298888211,1.34,-0.0013050289,1,1
1.5982962,-2.88120623258874,1,"lamb;",1,1,3.62851136785811,0.8,-0.1473051353,1,1
0.323991958031017,-2.18955977959558,1,"And",1,0,3.54711588048706,0.8,-0.1287561009,1,1
1.4282962,-1.43560022092424,1,"if",1,1,2.88992189039936,-0.2,-0.3543216695,1,1
1.3082962,-2.57125824596733,1,"thou",1,1,4.40115693918552,1.25,-0.1298986932,1,1
0.266698961635787,-2.98461610008962,0,"shouldst",0,0,4.71185934860654,1.34,-0.0284432485,0,0
1.5782962,-0.327222355641425,0,"be",0,0,2.8134445514968,1.34,-1.0862221959,1,0
2.0282962,-2.63679664861411,1,"cast",0,0,5.40693765614189,0.5,-0.0701410075,1,0
1.5786962,-2.88618738460355,0,"into",1,0,4.51130924003341,-0.2,-0.0691218554,0,0
1.2782962,-0.0743782524950802,0,"the",0,0,5.50709455792973,1,-4.8827163054,0,1
1.9582962,-2.26039390778169,1,"pit,",1,1,2.65978684022692,-0.2,-0.2993929324,1,1
1.89237250621501,-2.3061117392499,1,"or",1,1,5.17128568805481,1.34,-0.0011739488,1,0
1.2782962,-1.2806831127964,1,"into",0,0,2.76325995866397,0.5,-0.2825768459,0,1
0.8238597928,-0.886473735328764,0,"the",0,1,3.1110707615476,1.25,-0.3625970262,1,1
2.0782962,-2.39596206787974,1,"hands",1,1,4.70189923264004,1.34,-0.2059371648,1,1
1.8782962,-0.660008664708585,0,"of",0,1,2.65244861080659,0.5,-1.1424399461,0,0
1.3272741845,-2.63827202422544,1,"murderers,",1,1,5.53886738293775,0.8,-0.0005953587,0,1
0.5336562,-0.911589281866327,1,"and",0,0,2.35202866063384,-0.2,-0.7462393788,1,0
1.3977462,-0.442645372822881,1,"the",0,1,3.65195186191603,1.25,-0.3093064891,0,1
2.0682962,-1.86891231872141,0,"sentence",0,0,4.0867477117436,1.34,-0.117835393,0,1
1.40301620000021,-1.39780552173033,0,"of",0,0,4.42860239239107,0.8,-1.1307968707,0,0
0.4817164112,-2.15386427217163,0,"death",1,1,4.0353905271385,1.25,-0.057526255,1,0
1.3482962,-1.74221190484241,1,"passed",0,0,3.203469768705,1.25,-0.1612578639,0,0
0.73042201942903,-2.27853054483421,0,"upon",0,0,4.51748877791311,1.25,-0.6800582331,0,0
0.638813106096792,-2.57954383897595,0,"thee;",0,0,4.46797456757333,0.5,-0.1735307286,0,0
0.382232826527926,-2.19168181973509,0,"if",0,0,3.99708358047688,0.8,-0.2283017607,0,0
0.6582962,-1.20561790396459,1,"thou",1,1,4.01234257298712,1,-0.206724669,1,1
1.4782962,-0.376210480229929,1,"be",0,0,2.18996693514064,1,-1.2137564549,1,0
1.07793984045845,-2.63830160815269,0,"cast",0,0,2.92192162465153,1.25,-0.1297200165,0,0
1.8720762,-2.76148337102495,1,"into",1,0,5.00461307246066,0.4,-0.0868297014,0,0
0.6382962,-1.89908719388768,1,"the",0,0,2.27663792441444,0.4,-0.2775507305,1,0
1.4582962,-1.14104405092075,1,"deep;",1,1,2.90554877900975,1,-0.4645047281,1,1
0.810250897047593,-1.21637260797434,0,"if",0,0,2.09534910769142,1,-0.1961764997,0,0
1.2782962,-1.04529979359359,1,"the",1,1,3.31900912072211,1.25,-0.4237093271,1,1
1.0294462,-0.725302644073963,0,"billowing",0,0,2.21490082903735,0.8,-0.902598185,1,0
1.8982962,-0.342081640614197,1,"surge",1,1,3.05823621188708,1,-1.8161545713,1,1
1.7949462,-2.99939592811279,0,"conspire",1,1,5.29565330965842,0.5,-0.0629573815,0,0
1.3782962,-2.84843144123442,1,"against",1,0,3.35313073276521,1,-0.1046992915,0,0
1.3382962,-0.167734611080959,1,"thee;",0,1,4.16047329251187,-0.2,-2.2927386814,0,0
0.9982962,-0.709561341907829,1,"if",1,1,3.6162027006507,0.8,-0.5066413587,1,1
1.2783257424,-0.276567493099719,0,"fierce",1,1,3.5260173374118,-0.2,-1.0254498443,1,0
1.1196318032,-2.8722700914368,0,"winds",0,1,4.56506633312009,1.25,-0.2287962417,1,1
0.9859212,-0.422480095876381,0,"become",0,0,1.22905573846225,1.25,0.9629243574,1,1
1.2782962,-1.48266466311179,0,"thine",1,0,2.57697870665213,1,-0.6543140435,0,0
1.5682962,-0.48493906063959,1,"enemy;",1,1,2.23887928276848,1.25,-1.3539402221,1,1
1.5366362,-1.03008935577236,1,"if",1,1,3.70946083942789,1.34,-0.4710714837,1,1
2.07820654998169,-2.46535375574604,1,"the",0,1,5.26184132769645,0.5,-0.001387572,1,1
0.203754908344412,-1.04327633231878,0,"heavens",0,0,2.89326900485044,-0.2,-0.3312926725,0,0
0.528234225,-2.84946767496876,0,"gather",0,1,4.2207612516002,0.5,-0.1662935766,1,1
1.3782962,-2.29784787842073,1,"blackness,",1,1,4.15899089059571,1.34,-0.1611430122,1,1
1.5682962,-1.87723489128985,1,"and",1,1,3.4332468741153,0.5,-0.2560119828,1,1
1.4982962,-2.44224305427633,0,"all",1,1,4.48821110991895,-0.2,-0.1459680556,0,0
1.77850679072651,-1.95019632554613,1,"the",1,1,3.63168926628811,0.5,-0.1411929407,0,1
1.8782962,-1.05747878621332,0,"elements",0,1,3.06591684719803,0.5,-0.308438061,0,0
0.446255732256416,-0.247938664164394,0,"combine",1,1,5.42372817310664,1.25,-4.4617895089,1,1
0.765475208,-1.16226821858436,1,"to",1,0,3.76425675547217,-0.2,-0.0019885369,1,1
1.0570962,-0.514807777712122,1,"hedge",0,1,3.40042943686738,1,-0.2856216592,0,1
0.503561039089846,-1.04019193863496,0,"up",0,0,3.25990175940742,-0.2,-0.5898098208,0,0
2.0632962,-1.822910876479,0,"the",1,0,3.35966960334586,0.8,-0.2367587269,0,0
